,Unnamed: 0,SupplierID,SupplierName,SupplierContactDetails,ProductID,CarMaker,CarModel,CarColor,CarModelYear,CarPrice,CustomerID,CustomerName,Gender,JobTitle,PhoneNumber,EmailAddress,OrderDate,OrderID,ShipDate,ShipMode,Shipping,Sales,Quantity,Discount,CreditCardType,CreditCard,CustomerFeedback,SupplierAddress,CustomerAddress
0,0,1,Bubbletube,871-57-6028,8893,Dodge,Ram 2500,Goldenrod,2007,521963.45,60760-224,Louie Hinsche,Male,Mechanical Systems Engineer,907-966-3323,lhinsche0@comcast.net,2018/12/16,0268-6694,2019/03/14,Standard Class,Truck,744796.41,1,0.83,diners-club-carte-blanche,30408016042565,Bad,2201 Fendall Court Crofton MD 21114,804 East 7th Court Panama City FL 32401
1,1,2,Tagopia,337-64-4060,9444,Toyota,Tundra,Crimson,2010,672222.04,67457-594,Alexandros Manuel,Male,Structural Engineer,320-943-9301,amanuel1@usnews.com,2019/02/13,0699-5728,2019/03/06,Standard Class,Truck,794773.17,1,0.79,jcb,3549221112237767,Good,108 Chalmers Avenue Glen Burnie MD 21061,33655 5th Street Union City CA 94587
2,2,3,Zoomdog,218-19-1802,253,GMC,Savana 1500,Crimson,2011,504465.72,58411-135,Alvie Weighell,Male,Systems Administrator III,312-561-8337,aweighell2@nature.com,2018/08/16,42043-251,2019/01/20,Second Class,Air,968244.9,1,0.28,jcb,3557159608180902,Okay,5116 Emmanuel Avenue Anchorage AK 99508,1622 Orchard Avenue Louisville KY 40213
3,3,4,Oozz,635-15-3112,1283,Volkswagen,Cabriolet,Fuscia,1990,646077.11,0591-5307,Flint Gunston,Male,Operator,407-830-3175,fgunston3@mozilla.org,2019/02/22,57520-1044,2019/03/16,First Class,Truck,942213.82,2,0.76,jcb,3529909223663921,Very Bad,3578 Galindo Street Oakland CA 94601,6007 Applegate Lane Louisville KY 40219
4,4,5,Kare,849-23-6788,8905,Mercury,Mariner,Teal,2009,699890.24,51655-189,Alyssa Filpi,Female,Software Engineer III,313-870-7247,afilpi4@webs.com,2018/09/06,36987-3308,2019/01/29,Second Class,Air,879519.57,1,0.5,china-unionpay,5602235978541517,Bad,32 Country Club Boulevard Dartmouth MA 02747,1710 Monroe Street Northeast Washington DC 20018
5,5,6,Rhynyx,378-57-0118,8877,Toyota,Land Cruiser,Crimson,2005,694373.94,65811-0001,Wiatt Piche,Male,Professor,404-590-7068,wpiche5@deviantart.com,2018/08/16,11822-0580,2019/03/24,Standard Class,Air,947785.4,2,0.39,laser,6706247841149207,Good,7701 Taylor Oaks Circle Montgomery AL 36116,644 Byam Road Bethel VT 05032
6,6,7,Roombo,479-97-2408,101,Subaru,Impreza,Indigo,1999,546977.55,31722-328,Findlay Alberti,Male,Biostatistician III,617-524-1910,falberti6@google.com.br,2019/03/16,24909-111,2019/01/24,Same Day,Truck,883836.81,2,0.79,diners-club-carte-blanche,30528106894581,Very Bad,5788 Cane Ridge Road Nashville TN 37013,127 Andover Drive Savannah GA 31405
7,7,8,Wordify,371-69-6870,8854,BMW,X6,Purple,2013,528353.8,54162-018,Ottilie Wittman,Female,Administrative Officer,304-526-4427,owittman7@nps.gov,2018/06/30,49527-013,2019/01/01,Second Class,Truck,779626.29,1,0.9,jcb,3589144247894735,Bad,1122 McDaniel Street Sun City Center FL 33573,5396 North Reese Avenue Fresno CA 93722
8,8,9,Skyvu,717-19-7839,9043,Mitsubishi,Galant,Orange,2011,706964.35,44911-0060,Kirsten Calvey,Female,Assistant Manager,623-594-6668,kcalvey8@google.cn,2018/11/04,52125-325,2019/01/16,First Class,Air,818364.32,2,0.5,jcb,3557048508901444,Okay,836 Lamont Street Northwest Washington DC 20010,386 Pratt Road VT 05033
9,9,10,Feedfire,634-55-4653,492,Subaru,Justy,Crimson,1988,798573.59,54868-5732,Archer Landsborough,Male,Speech Pathologist,408-440-1522,alandsborough9@chron.com,2018/11/24,45802-283,2019/02/24,Standard Class,Truck,902866.47,1,0.61,jcb,3534727482148019,Very Bad,5110 East Shoshone Avenue Orange CA 92867,922 Judge Court East West River MD 20778
10,10,11,Layo,547-88-4825,9212,Mercedes-Benz,M-Class,Mauv,2002,722114.57,0955-1015,Duff Dodgshun,Male,Developer I,973-213-3415,ddodgshuna@imgur.com,2019/05/23,50563-202,2019/03/29,Same Day,Air,932957.69,1,0.62,diners-club-enroute,201441036983941,Very Bad,750 West Dimond Boulevard #STE 000121 Anchorage AK 99515,8213 Northwest 65th Place Oklahoma City OK 73132
11,11,12,Oyoyo,440-82-9219,7891,Ford,Taurus X,Crimson,2008,761182.85,54838-101,Barry Delves,Female,Analog Circuit Design manager,315-420-4107,bdelvesb@zimbio.com,2018/12/02,60512-1035,2019/05/20,Same Day,Truck,743643.26,2,0.61,jcb,3558313957113134,Okay,19020 North 68th Avenue Glendale AZ 85308,4709 Blagden Terrace Northwest Washington DC 20011
12,12,13,Quatz,803-82-7568,3334,Mercedes-Benz,CL-Class,Red,2011,568015.89,49825-119,Libbey Divell,Female,VP Sales,304-984-5742,ldivellc@blog.com,2019/06/17,54868-6162,2019/01/21,Second Class,Truck,856186.55,2,0.81,diners-club-enroute,201524347329142,Good,8821 West Myrtle Avenue Glendale AZ 85305,922 Judge Court East West River MD 20778
13,13,14,Gabvine,854-30-4179,8898,Dodge,Avenger,Turquoise,2008,646591.02,54799-504,Demetria Hazelgrove,Female,Human Resources Assistant IV,785-371-7195,dhazelgroved@theatlantic.com,2019/04/25,57955-8315,2019/05/17,First Class,Air,703359.96,1,0.88,jcb,3542457262271746,Good,53 Greenwood Avenue #1 Wakefield MA 01880,6143 Prosperity Drive #APT 000001 Anchorage AK 99504
